method,gates_mean,gates_std,success_mean,success_std,crash_mean,crash_std,miss_mean,miss_std
Direct,4.843333333333333,0.004714045207910216,0.6833333333333332,0.03299831645537219,0.17666666666666667,0.0262466929133727,0.12333333333333335,0.030912061651652344
Smooth-45,4.56,0.3009983388658484,0.61,0.09273618495495704,0.13,0.0408248290463863,0.26666666666666666,0.13274871834493251
Smooth-35,4.966666666666666,0.27824849006278957,0.7200000000000001,0.09201449161228172,0.06,0.045460605656619524,0.22,0.05887840577551898
Smooth-30,4.94,0.09626352718795783,0.7333333333333334,0.041096093353126494,0.11666666666666665,0.01247219128924647,0.15000000000000002,0.03741657386773942
Target-Anchored,4.486666666666667,0.2380942857123809,0.5466666666666667,0.09104333522498442,0.13,0.008164965809277268,0.32666666666666666,0.08806563209081938
